place,coordinates_y,coordinates_x,text
Rovaniemi,66.493491,25.739110,Perillä Rovaniemellä. **Tommi Liimatan** 1990-luvun muistelmaromaani *Rollo* on nimensäkin mukaisesti Rovaniemi-kirja. Tutuksi tulevat niin baarit kuin Länsikankaan kaupunginosa. **Jari Tervon** romaani *[Esikoinen](https://areena.yle.fi/1-2016024)* kuvaa 1970-luvun perhearkea Rovaniemellä. **Esa Salmisen** ja **Saeed Warsamen** kirjassa *Mohammed*‚ suomalainen tapahtumapaikka on rovaniemeläinen vastaanottokeskus.
Savonlinna,61.856614,28.943123,Tervetuloa Savonlinnaan! **Markus Leikolan** *Matkalla tänne* -novellikokoelmassa bussikuski Olavi saa arpajaisista matkan Savonlinnan oopperajuhlille‚ missä odottaa yllätys. **Lauriina Vilkkosen** romaanissa *Ensi-iltahuvit* oopperajuhlat tarjoavat näyttämön ihmissuhdekiemuroille. **Tuire Malmstedtin** *Pimeä jää* -trillerissä lapsi löytyy murhattuna Saimaan rannasta.
Tampere,61.490305,23.771388,Terveisiä Tampereelta! **Päivi Alasalmen** dekkari *Häkkilinnut* alkaa Tarastejärven jätekeskuksesta‚ mistä on löytynyt ihmisruumiin osa. **Antti Tuurin** *[Kylmien kyytimiehen](https://areena.yle.fi/1-50118731)* päähenkilö joutuu kuljettamaan ruumiita sisällissodan taisteluissa Tampereella. **Leena Kellosalon** *Hevosenpääsumu*-runoteoksessa raitiovaunut kolisevat Keskustorin katetun suihkulähteen ohi.
Tornionjokilaakso,66.669410,23.913163,Nyt ollaan Tornionjokilaaksossa. **Rosa Liksomin** teksteissä kuuluu meänkieli ja tornionjokilaakson murre. Sotapakolaisuutta 1940-luvulla kuvaavan romaanin *[Väylä](https://areena.yle.fi/podcastit/1-50980662)* nimikin viittaa Tornionjokeen - Väylä on joen meänkielinen nimi. **Maria Peura** kirjoittaa [*Kantajat*-romaanissaan](https://areena.yle.fi/podcastit/1-50608717) 1950-luvun lopun salakuljetuksesta‚ joppaamisesta ja vallankäytöstä. **Bengt Pohjasen** omaelämäkerrallinen *Jopparikuninkaan poika* kuvaa lapsen näkökulmasta jokilaakson entistä elinkeinoa.
Turku,60.449310,22.267092,Tervetuloa Turkuun! **[Leena Landerin](https://areena.yle.fi/1-2096015)** romaanissa *Käsky* Miina muistelee lontoolaista kirppusirkusta‚ joka oli Turun Vanhalla puutorilla 1900-luvun alussa. **Iida Rauman** *[Hävitys-romaanin](https://areena.yle.fi/podcastit/1-63507521)* Turku on synkkä ja traumaattinen paikka. **Juha Kulmalan** runokokoelmassa *Reset* turkulainen runoilija katselee Aurajoen rannan talojen vajoamista saveen.
Utsjoki,69.908884,27.029230,Tervetuloa Utsjoelle! **Niillas Holmbergin** *[Halla Helle](https://areena.yle.fi/podcastit/1-50711984)* -romaanin päähenkilö muuttaa etelästä Utsjoelle ja alkaa käydä kirjeenvaihtoa tunturiin muuttaneen taiteilijan kanssa. Utsjoelta lähtöisin oleva runoilija **Rauni Magga Lukkari** kirjoittaa kuinka Utsjoen jäätyessä linnut jättävät rantojen tiheiköt (*En laske‚ en koskaan*; suom. Kaija Anttonen). Runoilija **Kaarina Valoaallon** teoksessa *Banana Split* Utsjoen marraskuinen päivä on niin lyhyt‚ että aurinko ei &quot;ehdi edes kassiaan pöydälle laskea&quot;.
Vaasa,63.087738,21.617763,Vuorossa Vaasa! **Nilla Kjellsdotterin** *Kivipuiston tyttö* -dekkarissa Vaasan poliisissa työskentelevä Mija Wadö yrittää saada selville‚ kuka on Oravaisista löytynyt paleltunut tyttö. **Susanna Alakosken** *Pumpulienkeli* kertoo vaasalaisen puuvillatehtaan työläisistä 1900-luvun alussa. **Marko Hautalan** *Kuiskaava tyttö* -kauhuromaanissa kaupungissa elää legenda tappavasta kuiskauksesta.
Ahvenanmaa,60.223568,19.899720,Välkommen till Åland‚ tervetuloa Ahvenanmaalle! **Sanna Tahvanainen** kertoo [*Mitä perhoset tekevät sateella?* -romaanissa](https://areena.yle.fi/1-50957582) (suom. Jaana Nikula)‚ miten viikko Ahvenanmaan ulkosaaristossa muuttaa meribiologinaisen elämän. **Ulla-Lena Lundbergin** romaani *[Jää](https://areena.yle.fi/1-50113110)* (suom. Leena Vallisaari) kuvaa sotien jälkeistä aikaa saaristolaisseurakunnassa. **Katarina Gäddnäsin** runoteos *Vitbok* on eräänlainen vuosiraportti‚ jossa Ahvenanmaalla on keskeinen rooli.
Etelä-Pohjanmaa,62.970982,23.002868,Nyt ollaan Etelä-Pohjanmaalla! Lapuan patruunatehtaan räjähdys vuonna 1976 on Suomen historian suurin teollisuusonnettomuus ja siitä kertoo **Heini Röyskön** romaani *Ja samassa tuli hiljaisuus*. **Teemu Mäen** *Rääkypönttö*-runoteoksessa ryöpytetään lapsuuden ja Pohjanmaan väkivaltaisuutta hurjalla kierteellä. **Merja Mäen** romaanissa *[Ennen lintuja](https://areena.yle.fi/podcastit/1-61644137)* lähdetään evakkomatkalle Karjalan kodista kohti Seinäjoen outoja tapoja ja maisemia.
Hanko ja naapurit,59.831652,22.973802,Tervetuloa Hankoon‚ Tammisaareen ja Karjaalle! **Katja Kallion** romaanin *[Säkenöivät hetket](https://areena.yle.fi/1-1863683)* maisemia ovat pitsihuviloiden Hanko ja Bellevuen uimaranta. Naisten elämää kuvaava kirja ajoittuu sotien väliseen aikaan. **Monika Fagerholmin** romaanissa *[Lola ylösalaisin](https://areena.yle.fi/1-1811079)* (suom. Liisa Ryömä) ollaan Tammisaarta muistuttavassa kuvitteellisessa pienessä etelärannikon kaupungissa Lattaniemessä. **Tommy Tabermannin** romaanissa *Naaras* myytit ja erotiikka kohtaavat Mustionjoen rannalla Karjaalla.
Mökki-Suomi,61.411665,26.876923,Tervetuloa keskelle Mökki-Suomen rauhaan! Loppuun palanut toimittaja lähtee kesänviettoon Hartolaan **Elina Backmanin** *Kun kuningas kuolee* -romaanissa. Hän törmää kuitenkin vanhaan kuolemantapaukseen ja kesän rauha on tiessään. **Ritva Sarkolan** *Kuolon uni* -dekkarissa rikas helsinkiläisrouva katoaa Taidekeskus Salmelan avajaisissa Mäntyharjulla. **Veikko Rissasen** eräkirjassa *Kuikka kutsui järvelleni* seurataan Pienen Pyhäjärven Kieloniemen rauhallista elämäntahtia.
Pietarsaari,63.682420,22.713939,Välkommen till Jakobstad‚ tervetuloa Pietarsaareen! **Quynh Tranin** romaani *[Varjo ja viileys](https://areena.yle.fi/podcastit/1-61297795)* kertoo Pietarsaaressa asuvasta vietnamilaisesta perheestä. Eletään 1990-lukua‚ videovuokraamojen aikaa. **Wava Stürmer** kirjoittaa musteen tuoksusta pietarsaarelaisessa kirjakaupassa runoteoksessaan *Samtidigt*. **Lars Sundin** romaani *[Kolme sisarta ja yksi kertoja](https://svenska.yle.fi/a/7-836736)* (suom. Helene Bützow) on kirjailijan Pietarsaari-sarjan ensimmäinen osa.
Rauma,61.124725,21.511324,Tervetulo Raumal! **Tapio Koivukarin** *Luodetuulen maa* aloittaa Saaristolaissaaga-trilogian‚ jossa seurataan raumalaisen suvun vaiheita ja elämää meren äärellä 1900-luvun alkupuolelta lähtien. **Jukka-Pekka Palviaisen** romaanissa *Mitä ikinä keksitkin pelätä* puhutaan rauman omaleimaista murretta. **Juha Hurmeen** *[Nyljetyt ajatukset -kertomuksessa](https://areena.yle.fi/1-2283207)* Aimo ja Köpi soutavat länsirannikkoa pitkin Raumankin kautta ja juttua kirjallisuudesta riittää.
Pohjois-Karjala,62.766508,30.137165,Lähdit Pohjois-Karjalaan! **Esko-Pekka Tiitisen** romaani *[Kiven sylissä](https://yle.fi/a/3-5300825)* kertoo Vänskien suvusta‚ Outokummun kaivoksen historiasta‚ vastoinkäymisistä ja välittämisestä. **Saara Turusen** romaanissa *[Rakkaudenhirviö](https://areena.yle.fi/1-2820128)* nuori nainen haluaa paeta mykkyyden kulttuuria jostain Kontiolahden kaltaisesta paikasta. **Soili Pohjalaisen** *[Valuviassa](https://areena.yle.fi/1-50179538)* kolmekymppinen freelancetoimittaja lähtee Pohjois-Karjalaan katsomaan‚ onko isoisällä kaikki kunnossa.
Kemi,65.740649,24.584157,Tervetuloa Kemiin! **Peter Franzenin** omaelämäkerrallinen romaani *Tumman veden päällä* kertoo kemiläisen pojan lapsuudesta perheväkivallan varjossa. Isoisän pohjoinen puheenparsi lohduttaa yksinäistä lasta. **Paula Havasteen** *Yhden toivon tie* -romaanissa päähenkilö Oili päättää toisen maailmansodan päätteeksi jättää kotikaupunkinsa Kemin ja lähteä saksalaisen sotilaan matkaan. Peräpohjolassa ollaan myös **Anu Kolmosen** *Partisaanivalssissa*‚ jossa sodan traumat ulottuvat sukupolvien päähän.
Mikkeli,61.674169,27.278268,Olet Mikkelissä! **Markku Pääskysen** [*Sielut*-romaanissa](https://areena.yle.fi/1-3134780) lapsen katoaminen Mikkelissä kesällä 1986 järkyttää perhettä. Samaan aikaa muu Suomi seuraa pankkiryöstödraamaa. **Maria Björkin** romaanissa *Lainaa vain* Helsingissä opiskeleva päähenkilö tekee hanttihommia baarissa Visulahden Shellillä. **Jyrki Heinon** romaanin *Kello‚ eli Selonteko tapahtumista‚ jotka käynnistyivät‚ kun luutnantti Carl Wennehielm alkoi tutkia Kustaa III:n sodassa taistelleen majurin katoamista* kuljetaan halki Suomen ja yksi tapahtumapaikoista on Mikkeli.
Porvoo,60.384420,25.677523,Tervetuloa vanhaan Porvooseen! **Johanna Elomaan** *Kenelle naakat laulavat* -romaanissa Porvoon vanha kaupunki luo näyttämön erilaisille ihmiskohtaloille. Työväenluokkaiset teinit viettävät rajua nuoruuttaan 70-luvun Porvoossa **Sabine Forsblomin** *Betinkassa* (suom. Helene Bützow ja Laura Kulmala). Porvoon edustalla merellä on pieni Klovharun saari‚ jonne nuori opiskelija menee tapaamaan Tove Janssonia ja Tuulikki Pietilää **Johanna Venhon** *Syyskirjassa*.
Kokkola,63.841070,23.125497,Tervetuloa Kokkolaan! **Jussi Moilan** romaanissa *Tuntematon* parisuhteen draama ja Tuntemattoman sotilaan dramatisoiminen näytelmäksi sekoittuvat Kokkolaa muistuttavalla pienellä paikkakunnalla. *Tuulenjama* on **Tuula Levon** elämäkertaromaani kirjailija Teuvo Pakkalasta‚ myös hänen Kokkola-vuosistaan. **[Arto Paasilinnan](https://areena.yle.fi/1-909720)** romaani *Kylmät hermot‚ kuuma veri* vie lukijan Kokkolan Ykspihlajaan.
Kuusamo,65.958518,29.171933,Nyt kutsuu sua Kuusamo! **Tommi Kinnusen** romaanissa *[Pimeät kuut](https://areena.yle.fi/podcastit/1-63134924)* kansakoulunopettaja Elna Suorajärvi menee opettajaksi syrjäiseen kylään Kuusamon lähelle ja sodanjälkeisen Suomen elämänkohtalot uuvuttavat omistautunutta opettajaa. **Eeva Kaarina Arosen** romaanissa *Maria Renforsin totuus* tutustutaan Kuusamon luovutettuihin alueisiin ja tarinaan astuu mukaan valokuvaaja I.K. Inha. **Briitta Hepo-ojan** *Sydämiä seireeneille* -romaani esittelee vaihtoehtoisen 2000-luvun Suomen ja Kuusamon erämaat.
